ts_code,name,report_date,year,analyst_count,eps_avg,eps_max,eps_min,np_avg,np_max,np_min,revenue_avg,target_price_avg,rating_buy,rating_hold,rating_neutral,rating_sell
600519,贵州茅台,2025-01-04,,,,,,,,,,,买入,,,
600519,贵州茅台,2025-01-04,,,,,,,,,,,买入,,,
600519,贵州茅台,2025-01-04,,,,,,,,,,,买入,,,
600519,贵州茅台,2025-01-03,,,,,,,,,,,买入,,,
600519,贵州茅台,2025-01-03,,,,,,,,,,,买入,,,
600519,贵州茅台,2025-01-03,,,,,,,,,,,买入,,,
600519,贵州茅台,2025-01-03,,,,,,,,,,,买入,,,
600519,贵州茅台,2025-01-03,,,,,,,,,,,买入,,,
600519,贵州茅台,2025-01-03,,,,,,,,,,,买入,,,
600519,贵州茅台,2025-01-03,,,,,,,,,,,买入,,,
600519,贵州茅台,2025-01-03,,,,,,,,,,,买入,,,
600519,贵州茅台,2025-01-03,,,,,,,,,,,买入,,,
600519,贵州茅台,2025-01-03,,,,,,,,,,,买入,,,
600519,贵州茅台,2025-01-03,,,,,,,,,,,买入,,,
600519,贵州茅台,2025-01-03,,,,,,,,,,,买入,,,
600519,贵州茅台,2025-01-03,,,,,,,,,,,买入,,,
600519,贵州茅台,2025-01-03,,,,,,,,,,,买入,,,
600519,贵州茅台,2025-01-03,,,,,,,,,,,增持,,,
600519,贵州茅台,2025-01-03,,,,,,,,,,,买入,,,
600519,贵州茅台,2025-01-03,,,,,,,,,,,买入,,,
600519,贵州茅台,2024-12-31,,,,,,,,,,,买入,,,
600519,贵州茅台,2024-12-31,,,,,,,,,,,买入,,,
600519,贵州茅台,2024-12-30,,,,,,,,,,,买入,,,
600519,贵州茅台,2024-12-30,,,,,,,,,,,买入,,,
600519,贵州茅台,2024-12-30,,,,,,,,,,,买入,,,
600519,贵州茅台,2024-12-29,,,,,,,,,,,买入,,,
600519,贵州茅台,2024-12-29,,,,,,,,,,,买入,,,
600519,贵州茅台,2024-12-28,,,,,,,,,,,买入,,,
